Total Volume: 100uL,,,,,,
Tube Number,Metal Tag,Target,Antibody Clone,Stock Concentration,Final Concentration / Dilution,
1125,Nd143,CD44,IM7,200,4 ug/mL,
1084,Sm149,Vimentin,EPR3776,300,0.5 ug/mL,
1152,Yb173,E-Cadherin / P-Cadherin,36/E-Cadherin,300,1.5 ug/mL,
1289,In113,Histone H3,D1H2,200,0.7 ug/mL,
899,Nd142,PTEN,138G6,200,4 ug/mL,
1113,Sm152,Androgen Receptor AR,D6F11,400,5 ug/mL,
1284,Yb172,CD31,EPR3094,300,1 ug/mL,
1223,Nd146,FSP1,Polyclonal FSP1,300,2 ug/mL,
1171,Sm154,Erk1/2,20A,200,5 ug/mL,
1305,Tm169,EGFR,D38B1,300,4 ug/mL,
1327,Yb176,Cleaved Caspase3,C92-605,400,2 ug/mL,
1325,Gd156,H2AX (Ser139),N1-431,400,2 ug/mL,
1227,Er166,Carbonic Anhydrase IX,polyclonal_CAIX,300,4 ug/mL,
1089,Lu175,Rb,D20B12,200,3 ug/mL,
1330,In115,SMA,1A4,200,0.2 ug/mL,
1392,Dy162,CD45RO,UCHL1,200,4 ug/mL,
1317,Dy162,CD45,2B11,500,5 ug/mL,
1375,Er168,Ki-67,B56,400,4 ug/mL,
1328,Yb176,cleaved PARP,F21-852,400,2 ug/mL,
1370,Yb172,vWF,poly vwf,300,4 ug/mL,
1440,Gd155,Bcl-2,100,400,5 ug/mL,
1399,Tb159,p53,7F5,200,5 ug/mL,
1251,Dy163,VEGF,G153-694,500,5 ug/mL,
1155,Dy164,CD45RA,HI100,200,4 ug/mL,
1228,Yb174,Cytokeratin 7,RCK105,300,4 ug/mL,
1192,Nd144,Cytokeratin 8/18,C51,300,3 ug/mL,
985,Gd160,CD274 (B7-H1, PD-L1),E1L3N,300,2
1095,Gd158,Progesterone Receptor A/B,EP2,400,5 ug/mL,
1096,Gd158,Progesterone Receptor A/B,SP2,400,5 ug/mL,
1168,Sm147,Keratin 14,polyclonal_905301,300,3 ug/mL,
